,name,shares,coord.shares,account.avg.subscriberCount,account.platform,account.name,account.platformId,name.changed,account.handle,handle.changed,account.verified,pageAdminTopCountry.changed,account.pageAdminTopCountry,account.accountType,account.pageCreatedDate,account.pageDescription,account.pageDescription.changed,account.pageCategory,account.pageCategory.changed,degree,component,cluster,strength
14,https://www.facebook.com/825954890834995,1137,300,125104,Facebook,GRUPO OLAVO DE CARVALHO,825954890834995,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,286,5,6,2594
11,https://www.facebook.com/1224957990848536,614,175,187975,Facebook,BOLSONARO ATÉ 2026,1224957990848536,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,217,5,6,1915
81,https://www.facebook.com/355074335229986,483,170,237402,Facebook,Grupo do SOLDADO DE AÇO Apoio ao Presidente Jair  Bolsonaro,355074335229986,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,194,5,6,1640
27,https://www.facebook.com/groups/342134069896879,347,116,36922,Facebook,DIREITA RACIONAL,342134069896879,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,198,5,5,1523
32,https://www.facebook.com/groups/357310678311890,223,96,62378,Facebook,Ministro Ricardo Salles,357310678311890,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,182,5,5,1391
146,https://www.facebook.com/902370383274903,292,80,81159,Facebook,Aliados Com Bolsonaro,902370383274903,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,177,5,6,1384
75,https://www.facebook.com/272793386443728,343,116,82916,Facebook,MULHERES COM BOLSONARO ALIANÇA PELO BRASIL [OFICIAL],272793386443728,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,178,5,6,1359
210,https://www.facebook.com/382009155339255,292,73,111009,Facebook,GRUPO DE APOIO AO  GOVERNO DO BOLSONARO PRESIDENTE DO BRASIL,382009155339255,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,175,5,6,1298
26,https://www.facebook.com/785330608266029,260,77,73327,Facebook,GRUPO DE APOIO AO BRASIL,785330608266029,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,162,5,6,1248
48,https://www.facebook.com/groups/584212892325072,328,145,94428,Facebook,ALIANÇA PELO BRASIL(OFICIAL),584212892325072,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,163,5,5,1233
16,https://www.facebook.com/1660323857593756,399,138,127171,Facebook,JAIR MESSIAS BOLSONARO,1660323857593756,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,166,5,5,1208
25,https://www.facebook.com/1228175790590175,149,53,63560,Facebook,🇧🇷Sempre com Bolsonaro🇧🇷,1228175790590175,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,161,5,6,1188
8,https://www.facebook.com/groups/1962055680581234,176,69,19732,Facebook,Pátria amada Brasil até morrer!,1962055680581234,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,161,5,5,1172
45,https://www.facebook.com/groups/1922690967956871,219,84,49326,Facebook,MOVIMENTO DO POVO BRASILEIRO,1922690967956871,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,166,5,5,1170
222,https://www.facebook.com/groups/473122700191150,174,75,39726,Facebook,JAIR BOLSONARO - O MITO.!,473122700191150,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,159,5,5,1170
83,https://www.facebook.com/1667860220130416,196,75,60156,Facebook,O Brasil Acordou,1667860220130416,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,157,5,6,1158
190,https://www.facebook.com/groups/714546562382974,333,112,137994,Facebook,BOLSONARO 2022,714546562382974,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,163,5,5,1151
116,https://www.facebook.com/groups/251820432138395,536,233,262145,Facebook,Aliança pelo Brasil,251820432138395,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,151,5,5,1145
142,https://www.facebook.com/732206173811931,194,65,25985,Facebook,PATRIOTAS SÃO BOLSONARO 2022,732206173811931,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,154,5,5,1137
109,https://www.facebook.com/groups/561813371057548,343,123,284117,Facebook,FORÇABRASIL,561813371057548,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,153,5,5,1110
384,https://www.facebook.com/1624167294491597,217,55,98223,Facebook,#APOIADORES DO  GOVERNO DO BOLSONARO PRESIDENTE DO BRASIL,1624167294491597,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,145,5,6,1099
111,https://www.facebook.com/groups/347555432645817,240,111,177037,Facebook,Bolsonaro 2022,347555432645817,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,152,5,5,1088
71,https://www.facebook.com/groups/404492196721733,138,69,25340,Facebook,Bolsonaro TV,404492196721733,FALSE,NA,FALSE,FALSE,FALSE,NA,facebook_group,NA,NA,FALSE,none,FALSE,145,5,6,1019
