,cluster,component,entities,avg.subscriberCount,cooRshare_ratio.avg,cooRscore.avg,pageAdminTopCountry,facebook_page,facebook_group,facebook_profile,unique.full_domain,unique.parent_domain,gini.full_domain,gini.parent_domain,Coder,State_rec,Topic,top.full_domain,top.parent_domain
1,1,1,"2,00",9147.5,0.318840579710145,7,GB,2,0,0,6,6,0.142857142857143,0.142857142857143,R,POL,"no vax, covid negationists","nczas.com, medianarodowe.com, odkrywamyzdrowie.pl, robertbrzoza.pl, wgospodarce.pl, zmianynaziemi.pl","nczas.com, medianarodowe.com, odkrywamyzdrowie.pl, robertbrzoza.pl, wgospodarce.pl, zmianynaziemi.pl"
10,10,9,"4,00",3118.5,0.263107546048723,4.66666666666667,NA,0,4,0,3,3,0.818181818181818,0.818181818181818,R,FIN,Anti climate change,"www.youtube.com, notrickszone.com, www.iceagenow.info","youtube.com, notrickszone.com, iceagenow.info"
11,11,10,3,920,0.484848484848485,4,US,3,0,0,4,4,0.0769230769230769,0.0769230769230769,S,USA,Pro Republican Party,"www.youtube.com, bigleaguepolitics.com, stream.org, www.theepochtimes.com","youtube.com, bigleaguepolitics.com, stream.org, theepochtimes.com"
12,12,11,16,13486.5625,0.202691810911265,5.45104166666667,NA,0,16,0,60,55,0.689841304113138,0.685774946921444,S,USA,Pro Republican Party,"www.youtube.com, www.thegatewaypundit.com, i.redd.it, rumble.com, welovetrump.com, www.worldviewweekend.com, justthenews.com, beta.documentcloud.org, www.bitchute.com, childrenshealthdefense.org, www.theepochtimes.com, halturnerradioshow.com, thefederalist.com, vimeo.com, www.oann.com, pbs.twimg.com, share.par.pw, trendingpolitics.com, usanetwork.info, www.thecollegefix.com, 100percentfedup.com, adrenogate.wordpress.com, deepclips.com, defconnews.com, djhjmedia.com, envirowatchrangitikei.wordpress.com, image-cdn.parler.com, nypost.com, politicalhotwire.com, realrawnews.com, reformationcharlotte.org, tv.gab.com, www.blabber.buzz, www.lifesitenews.com, www.stevegruber.com, beforeitsnews.com, bongino.com, brandnewtube.com, btnews.online, dcdirtylaundry.com, flagandcross.com, gab.com, holidravel.com, kfyi.iheart.com, litefm.iheart.com, nationsinaction.org, patriotpost.us, populist.press, redstory.info, snoopack.com, summit.news, tass.com, themarshallreport.wordpress.com, therepublicpost.wordpress.com, trumpers.online, www.americanlibertyreport.com, www.breitbart.com, www.diamondandsilk.com, www.toddstarnes.com, www.wnd.com","youtube.com, thegatewaypundit.com, redd.it, rumble.com, welovetrump.com, worldviewweekend.com, justthenews.com, bitchute.com, documentcloud.org, wordpress.com, childrenshealthdefense.org, theepochtimes.com, halturnerradioshow.com, oann.com, thefederalist.com, vimeo.com, gab.com, par.pw, thecollegefix.com, trendingpolitics.com, twimg.com, usanetwork.info, 100percentfedup.com, blabber.buzz, deepclips.com, defconnews.com, djhjmedia.com, iheart.com, lifesitenews.com, nypost.com, parler.com, politicalhotwire.com, realrawnews.com, reformationcharlotte.org, stevegruber.com, americanlibertyreport.com, beforeitsnews.com, bongino.com, brandnewtube.com, breitbart.com, btnews.online, dcdirtylaundry.com, diamondandsilk.com, flagandcross.com, holidravel.com, nationsinaction.org, patriotpost.us, populist.press, redstory.info, snoopack.com, summit.news, tass.com, toddstarnes.com, trumpers.online, wnd.com"
13,13,12,4,835.25,0.458638583638584,4.16666666666667,NA,0,4,0,2,2,0.454545454545455,0.454545454545455,R,USA,Pro Larouche and Trump,"www.youtube.com, www.worldviewweekend.com","youtube.com, worldviewweekend.com"
14,14,8,"57,00",86859.9298245614,0.262278154349917,4.31376007606658,NA,0,57,0,57,54,0.817771428571428,0.821041509433962,R,MEX,Populism/ morena party,"www.youtube.com, www.sinembargo.mx, www.tunota.com, www.noticiaszmg.com, www.lechuguinos.com, gauchadiario.home.blog, chaco24noticias.medios.com.ar, lamatrixholografica.wordpress.com, cubasi.cu, plataforma.quieroauditoriaenergetica.org, adribosch.wordpress.com, nacionunida.com, www.info-mundo.com, morenamlovers.com, opanoticias.com, www.upsocl.com, canal44.com, diariolalibertad.com, elcontramedio.com, facundoquiroga.com, insurgente.org, themillenniumreport.com, www.politicayestilo.com, 4tinfomex.com, actualidad.rt.com, breaking.com.mx, revoluciontrespuntocero.mx, twitter.com, www.anonymousweb.mx, www.denleaks.com, www.despiertacultura.com, www.elindependiente.sv, www.fort-russ.com, www.lavanguardia.com, www.libertaddigital.com, www.periodicoelprogreso.com, www.politicaatual.com, www.worldviewweekend.com, alpunto.com.co, bigtimenews.home.blog, ciudadvalencia.com.ve, conlagentenoticias.com, elpopular.pe, gestion.pe, healthandmoneynews.wordpress.com, intriper.com, libertaddigital.news, machoalfaseguridad.com, quintafuerza.mx, summit.news, www.colimanoticias.com, www.colombiaindignada.com, www.diariodemexico.com, www.eulixe.com, www.mentealternativa.com, www.telesurtv.net, www.weblyf.com","youtube.com, sinembargo.mx, tunota.com, noticiaszmg.com, wordpress.com, lechuguinos.com, home.blog, medios.com.ar, cubasi.cu, quieroauditoriaenergetica.org, info-mundo.com, nacionunida.com, morenamlovers.com, opanoticias.com, upsocl.com, canal44.com, diariolalibertad.com, elcontramedio.com, facundoquiroga.com, insurgente.org, politicayestilo.com, themillenniumreport.com, 4tinfomex.com, anonymousweb.mx, breaking.com.mx, denleaks.com, despiertacultura.com, elindependiente.sv, fort-russ.com, lavanguardia.com, libertaddigital.com, periodicoelprogreso.com, politicaatual.com, revoluciontrespuntocero.mx, rt.com, twitter.com, worldviewweekend.com, alpunto.com.co, ciudadvalencia.com.ve, colimanoticias.com, colombiaindignada.com, conlagentenoticias.com, diariodemexico.com, elpopular.pe, eulixe.com, gestion.pe, intriper.com, libertaddigital.news, machoalfaseguridad.com, mentealternativa.com, quintafuerza.mx, summit.news, telesurtv.net, weblyf.com"
15,15,13,2,1882,0.20510752688172,4,NA,0,2,0,8,8,0.338345864661654,0.338345864661654,S,USA,Pro Trump/ Soft News,"www.youtube.com, www.bitchute.com, strangesounds.org, www.dickmorris.com, www.shockya.com, www.theblaze.com, tass.com, www.minareport.com","youtube.com, bitchute.com, dickmorris.com, shockya.com, strangesounds.org, theblaze.com, minareport.com, tass.com"
16,16,14,"2,00",5950,0.258974358974359,4,NA,0,2,0,3,3,0.454545454545455,0.454545454545455,S,FRA,Pro Putin,"www.youtube.com, planetes360.fr, www.cybercomnet.fr","youtube.com, cybercomnet.fr, planetes360.fr"
17,17,15,"2,00",6570.5,0.264880952380952,4,NA,0,2,0,11,11,0.551351351351352,0.551351351351352,S,NLD,Pro Opposition/ Soft News,"www.youtube.com, commonsensetv.nl, www.bitchute.com, dewaarheid, www.stopworldcontrol.com, halturnerradioshow.com, healthimpactnews.com, indignatie.nl, themarshallreport.wordpress.com, www.gilmorehealth.com, www.worldtribune.com","youtube.com, bitchute.com, commonsensetv.nl, NA.NA, stopworldcontrol.com, gilmorehealth.com, halturnerradioshow.com, healthimpactnews.com, indignatie.nl, wordpress.com, worldtribune.com"
18,18,16,"2,00",691,0.233766233766234,4,NA,0,2,0,3,3,0.4,0.4,S,ESP,Information on Differnt tiopcs,"www.youtube.com, cazadebunkers.wordpress.com, www.alertadigital.com","youtube.com, alertadigital.com, wordpress.com"
